,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
3233,0.0,0.0,46.53,63.36,22.66676754,22.66676754,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6053.46,562.46,578.0,577.1805906,3.47217083,572.82,83647298.08,9.5,33.97519703,4.949597326,408.3680042,0.03,141.55,Mirai-greip_flood
912,0.0,0.0,45.16,71.64,30.07668497,30.07668497,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5804.84,486.56,578.0,552.9325507,40.0712792,557.68,83651098.76,9.5,33.20450198,56.72453886,8981.817205,0.18,141.55,Mirai-greip_flood
7005,0.155275841,41.75,41.26,70.45,27595.71483,27595.71483,0.0,0,0,0,0,0,0,0,0.06,0.04,0.0,0.06,0.12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5262.21,289.3,563.03,499.0684367,102.6634233,499.11,83581706.66,9.5,31.27710398,145.2925531,20348.25227,0.61,141.55,Mirai-greip_flood
13669,0.0,0.0,47.0,64.0,5.858490144,5.858490144,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83581699.68,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
7895,0.0,0.0,47.0,64.0,53.64794966,53.64794966,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83573865.37,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
8427,0.0,0.0,47.0,64.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83647031.5,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
9880,0.0,0.0,47.0,64.0,8.562154306,8.562154306,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83646560.85,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
8328,0.0,2.3,45.32,71.64,18.02304066,18.02304066,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6004.28,552.6,578.0,574.4999297,8.189595982,559.28,83581838.38,9.5,33.89165001,11.63386207,1393.758394,0.05,141.55,Mirai-greip_flood
18872,0.036946909,2.9,45.18,63.99,23.91091988,23.91091988,0.0,0,0,0,0,0,0,0,0.0,0.05,0.0,0.0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5918.58,469.02,578.0,568.4357702,30.23530667,557.26,83581799.83,9.5,33.71043147,42.88823435,4492.219145,0.21,141.55,Mirai-greip_flood
9291,0.0,58.0,6.0,45.6,69.47445371,69.47445371,0.0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,319.0,58.0,58.0,58.0,0.0,58.0,0.000134301,5.5,10.77032961,0.0,0.0,0.0,38.5,Recon-OSScan
