,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
143,0.0,0.0,45.59,62.08,35.44597078,35.44597078,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5882.52,510.66,578.0,564.2546813,26.83584844,562.46,83573787.6,9.5,33.57258377,38.00708207,5598.400724,0.13,141.55
4528,0.002190211,4.78,46.59,64.0,21.06512981,21.06512981,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6018.6,527.6,578.0,573.2296201,14.34059634,574.85,83663868.49,9.5,33.85718509,20.30450747,1333.798015,0.16,141.55
18979,0.001109691,1.59,46.12,63.2,17.03055234,17.03055234,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5980.1,489.1,578.0,571.1664348,23.27880633,567.58,83581838.37,9.5,33.79405628,33.00007024,3278.584513,0.17,141.55
15862,0.031129551,26.74,45.72,64.0,5.043963422,5.043963422,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.04,0.12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6068.94,554.0,615.44,577.9777265,11.57877827,578.06,83647521.07,9.5,33.99914247,16.46885487,2883.792403,0.05,141.55
8215,0.000387108,1.16,46.12,63.13,49.14622411,49.14622411,0.0,0,0,0,0,0,0,0,0.0,0.02,0.0,0.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5944.5,453.5,578.0,568.1864912,32.93729725,567.62,83573722.01,9.5,33.70441622,46.65893635,4643.353718,0.24,141.55
11817,1.443213201,3912.7,6.0,71.4,59.52025522,59.52025522,0.0,0,0,0,0,1,0,0,0.6,1.2,0.0,8.2,17.4,0,1,0,0,0,0,0,1,0,0,0,0,1,1,390.0,66.0,84.9,69.86571429,7.571799583,71.4,0.012658501,5.5,11.81862647,10.70814166,82.31703061,0.7,38.5
16595,0.0,0.0,47.0,64.0,1623.496807,1623.496807,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83573354.87,9.5,34.0,0.0,0.0,0.0,141.55
10663,0.0,3.42,45.37,67.7,0.890765403,0.890765403,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6015.72,522.2,580.52,574.8457822,13.83809516,570.1,83647514.28,9.5,33.9055426,19.63344817,1279.063816,0.35,141.55
18062,0.084059594,395.58,43.83,76.12,16.09506159,16.09506159,0.0,0,0,0,0,0,0,0,0.0,0.14,0.0,0.5,1.19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5512.79,398.6,565.02,516.450157,69.5457363,539.21,83586068.91,9.5,31.88762462,98.45860272,14845.22271,0.34,141.55
14919,0.275868049,1295.01,44.56,62.58,22.42075854,22.42075854,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5845.49,392.79,578.0,563.4083428,49.14716057,548.17,83586809.16,9.5,33.56087516,69.68824768,6217.385165,0.4,141.55
